5/12/2020 7:42:59 PM /TELEPLOC a x:55 Y:28 Map:279
5/12/2020 7:43:00 PM /TELEPLOC a x:51 Y:26 Map:279
5/12/2020 7:43:00 PM /TELEPLOC a x:47 Y:23 Map:279
5/12/2020 7:43:02 PM /TELEPLOC a x:43 Y:21 Map:279
5/12/2020 7:43:03 PM /TELEPLOC a x:38 Y:20 Map:279
5/12/2020 7:43:05 PM /TELEPLOC a x:33 Y:17 Map:279
5/12/2020 7:43:06 PM /TELEPLOC a x:29 Y:13 Map:279
5/12/2020 7:43:08 PM /TELEPLOC a x:34 Y:9 Map:279
5/12/2020 7:43:10 PM /TELEPLOC a x:40 Y:9 Map:279
5/12/2020 7:43:12 PM /TELEPLOC a x:45 Y:14 Map:279
5/12/2020 7:43:15 PM /TELEPLOC a x:42 Y:19 Map:279
5/12/2020 7:43:17 PM /TELEPLOC a x:36 Y:20 Map:279
5/12/2020 7:43:18 PM /TELEPLOC a x:31 Y:17 Map:279
5/12/2020 7:43:21 PM /TELEPLOC a x:28 Y:15 Map:279
5/12/2020 7:43:22 PM /TELEPLOC a x:29 Y:14 Map:279
5/12/2020 7:43:24 PM /TELEPLOC a x:33 Y:10 Map:279
5/12/2020 7:43:30 PM /TELEPLOC a x:38 Y:8 Map:279
5/12/2020 7:43:32 PM /TELEPLOC a x:43 Y:9 Map:279
5/12/2020 7:43:36 PM /TELEPLOC a x:47 Y:11 Map:279
5/12/2020 7:43:47 PM /TELEPLOC a x:42 Y:15 Map:279
5/12/2020 7:43:48 PM /TELEPLOC a x:38 Y:16 Map:279
5/12/2020 7:43:49 PM /TELEPLOC a x:32 Y:15 Map:279
5/12/2020 7:43:50 PM /TELEPLOC a x:27 Y:17 Map:279
5/12/2020 7:43:52 PM /TELEPLOC a x:21 Y:22 Map:279
5/12/2020 7:43:53 PM /TELEPLOC a x:19 Y:27 Map:279
5/12/2020 7:43:55 PM /TELEPLOC a x:24 Y:29 Map:279
5/12/2020 7:43:56 PM /TELEPLOC a x:29 Y:26 Map:279
5/12/2020 7:43:58 PM /TELEPLOC a x:32 Y:25 Map:279
5/12/2020 7:44:09 PM /TELEPLOC a x:34 Y:21 Map:279
5/12/2020 7:44:16 PM /TELEPLOC a x:36 Y:18 Map:279
5/12/2020 7:44:23 PM /TELEPLOC a x:43 Y:17 Map:279
5/12/2020 7:44:24 PM /TELEPLOC a x:46 Y:15 Map:279
5/12/2020 7:44:27 PM /TELEPLOC a x:45 Y:13 Map:279
5/12/2020 7:44:29 PM /TELEPLOC a x:45 Y:16 Map:279
5/12/2020 7:44:31 PM /TELEPLOC a x:48 Y:11 Map:279
5/12/2020 7:44:34 PM /TELEPLOC a x:48 Y:11 Map:279
5/12/2020 7:44:36 PM /TELEPLOC a x:48 Y:11 Map:279
5/12/2020 7:44:38 PM /TELEPLOC a x:48 Y:11 Map:279
5/12/2020 7:44:39 PM /TELEPLOC a x:50 Y:11 Map:279
5/12/2020 7:44:41 PM /TELEPLOC a x:46 Y:15 Map:279
5/12/2020 7:44:42 PM /TELEPLOC a x:41 Y:15 Map:279
5/12/2020 7:44:44 PM /TELEPLOC a x:37 Y:14 Map:279
5/12/2020 7:45:02 PM /TELEPLOC a x:43 Y:17 Map:279
5/12/2020 7:45:03 PM /TELEPLOC a x:48 Y:16 Map:279
5/12/2020 7:45:04 PM /TELEPLOC a x:52 Y:13 Map:279
5/12/2020 7:45:05 PM /TELEPLOC a x:56 Y:9 Map:279
5/12/2020 7:45:06 PM /TELEPLOC a x:56 Y:9 Map:279
5/12/2020 7:45:07 PM /TELEPLOC a x:52 Y:7 Map:279
5/12/2020 7:45:09 PM /TELEPLOC a x:48 Y:7 Map:279
5/12/2020 7:45:10 PM /TELEPLOC a x:44 Y:8 Map:279
5/12/2020 7:45:11 PM /TELEPLOC a x:48 Y:8 Map:279
5/12/2020 7:45:23 PM /TELEPLOC a x:47 Y:14 Map:279
5/12/2020 7:45:24 PM /TELEPLOC a x:52 Y:12 Map:279
5/12/2020 7:45:25 PM /TELEPLOC a x:56 Y:10 Map:279
5/12/2020 7:48:09 PM /TELEPLOC a x:51 Y:11 Map:279
5/12/2020 7:48:10 PM /TELEPLOC a x:49 Y:9 Map:279
5/12/2020 7:48:11 PM /TELEPLOC a x:49 Y:9 Map:279
5/12/2020 7:48:12 PM /TELEPLOC a x:49 Y:9 Map:279
5/12/2020 7:48:13 PM /TELEPLOC a x:49 Y:9 Map:279
5/12/2020 7:48:13 PM /TELEPLOC a x:54 Y:9 Map:279
5/12/2020 7:48:15 PM /TELEPLOC a x:53 Y:13 Map:279
5/12/2020 7:48:16 PM /TELEPLOC a x:46 Y:16 Map:279
